Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
price and cost,Negative,quite expensive at $0.30,42.4313499,-83.4839471,Tesla Destination Charger,OPERATIONAL,"120 W Main St #205, Northville, MI 48167, USA","point_of_interest, establishment",13,5,"Not a Tesla destination charger anymore. I've tried to suggest updating this to Google 4 times and it hasn't been accepted. Only 2 J1772 plugs available and it's quite expensive at $0.30/kwh. Most of the time only one of the plugs is functional.Free! 2 level 2 chargers available. My Tesla was charging at a rate of 28 mi/hr once the battery warmed up. Offers the Tesla plug and also the standard plug for other electric vehicles. 3 hour parking limit.Not a Tesla charging station. It's an electric charger but not a Tesla charger. Very slow.Close to downtown, accessable, & plowed. Two chargers for Tesla vehicles at 40amps. Users seem to honor limiting their charging time .This destination charger saved me today. Getting towed to the supercharger with my daughter on a cold day would not have been fun. Thank you Northville, awesome community.",3.8
compatibility and connectivity,Positive,Offers the Tesla plug and also the standard plug for other electric vehicles],42.4313499,-83.4839471,Tesla Destination Charger,OPERATIONAL,"120 W Main St #205, Northville, MI 48167, USA","point_of_interest, establishment",13,5,"Not a Tesla destination charger anymore. I've tried to suggest updating this to Google 4 times and it hasn't been accepted. Only 2 J1772 plugs available and it's quite expensive at $0.30/kwh. Most of the time only one of the plugs is functional.Free! 2 level 2 chargers available. My Tesla was charging at a rate of 28 mi/hr once the battery warmed up. Offers the Tesla plug and also the standard plug for other electric vehicles. 3 hour parking limit.Not a Tesla charging station. It's an electric charger but not a Tesla charger. Very slow.Close to downtown, accessable, & plowed. Two chargers for Tesla vehicles at 40amps. Users seem to honor limiting their charging time .This destination charger saved me today. Getting towed to the supercharger with my daughter on a cold day would not have been fun. Thank you Northville, awesome community.",3.8
queue and waiting time,Positive,Users seem to honor limiting their charging time],42.4313499,-83.4839471,Tesla Destination Charger,OPERATIONAL,"120 W Main St #205, Northville, MI 48167, USA","point_of_interest, establishment",13,5,"Not a Tesla destination charger anymore. I've tried to suggest updating this to Google 4 times and it hasn't been accepted. Only 2 J1772 plugs available and it's quite expensive at $0.30/kwh. Most of the time only one of the plugs is functional.Free! 2 level 2 chargers available. My Tesla was charging at a rate of 28 mi/hr once the battery warmed up. Offers the Tesla plug and also the standard plug for other electric vehicles. 3 hour parking limit.Not a Tesla charging station. It's an electric charger but not a Tesla charger. Very slow.Close to downtown, accessable, & plowed. Two chargers for Tesla vehicles at 40amps. Users seem to honor limiting their charging time .This destination charger saved me today. Getting towed to the supercharger with my daughter on a cold day would not have been fun. Thank you Northville, awesome community.",3.8
reliability and maintenance,Positive,This destination charger saved me today],42.4313499,-83.4839471,Tesla Destination Charger,OPERATIONAL,"120 W Main St #205, Northville, MI 48167, USA","point_of_interest, establishment",13,5,"Not a Tesla destination charger anymore. I've tried to suggest updating this to Google 4 times and it hasn't been accepted. Only 2 J1772 plugs available and it's quite expensive at $0.30/kwh. Most of the time only one of the plugs is functional.Free! 2 level 2 chargers available. My Tesla was charging at a rate of 28 mi/hr once the battery warmed up. Offers the Tesla plug and also the standard plug for other electric vehicles. 3 hour parking limit.Not a Tesla charging station. It's an electric charger but not a Tesla charger. Very slow.Close to downtown, accessable, & plowed. Two chargers for Tesla vehicles at 40amps. Users seem to honor limiting their charging time .This destination charger saved me today. Getting towed to the supercharger with my daughter on a cold day would not have been fun. Thank you Northville, awesome community.",3.8
amenities and location,Positive,"Close to downtown, accessible, & plowed]",42.4313499,-83.4839471,Tesla Destination Charger,OPERATIONAL,"120 W Main St #205, Northville, MI 48167, USA","point_of_interest, establishment",13,5,"Not a Tesla destination charger anymore. I've tried to suggest updating this to Google 4 times and it hasn't been accepted. Only 2 J1772 plugs available and it's quite expensive at $0.30/kwh. Most of the time only one of the plugs is functional.Free! 2 level 2 chargers available. My Tesla was charging at a rate of 28 mi/hr once the battery warmed up. Offers the Tesla plug and also the standard plug for other electric vehicles. 3 hour parking limit.Not a Tesla charging station. It's an electric charger but not a Tesla charger. Very slow.Close to downtown, accessable, & plowed. Two chargers for Tesla vehicles at 40amps. Users seem to honor limiting their charging time .This destination charger saved me today. Getting towed to the supercharger with my daughter on a cold day would not have been fun. Thank you Northville, awesome community.",3.8
customer service,Positive,Awesome community],42.4313499,-83.4839471,Tesla Destination Charger,OPERATIONAL,"120 W Main St #205, Northville, MI 48167, USA","point_of_interest, establishment",13,5,"Not a Tesla destination charger anymore. I've tried to suggest updating this to Google 4 times and it hasn't been accepted. Only 2 J1772 plugs available and it's quite expensive at $0.30/kwh. Most of the time only one of the plugs is functional.Free! 2 level 2 chargers available. My Tesla was charging at a rate of 28 mi/hr once the battery warmed up. Offers the Tesla plug and also the standard plug for other electric vehicles. 3 hour parking limit.Not a Tesla charging station. It's an electric charger but not a Tesla charger. Very slow.Close to downtown, accessable, & plowed. Two chargers for Tesla vehicles at 40amps. Users seem to honor limiting their charging time .This destination charger saved me today. Getting towed to the supercharger with my daughter on a cold day would not have been fun. Thank you Northville, awesome community.",3.8
ease of use,Negative,a little more complicated than it needs to be],42.4350989,-83.4356217,Greenlots Charging Station,OPERATIONAL,"Township of Northville, MI 48167, USA","point_of_interest, establishment",6,5,"This was a little more complicated than it needs to be. I had to call, and they walked me thru the process. This is not plug and play. You need to download the app, scan qr code, enter the charger type you want (ieccs/chadwmo) on the app, and then hit the start on the charger.  Good luck figuring it out!Yet another app to sign up for and this one requires a $60 hold.  Other than that…charging was great!Late night charge.  No issues.Stations work fine. Why they put them so far away from the front door, I don’t know.",4.5
customer service,Positive,they walked me thru the process],42.4350989,-83.4356217,Greenlots Charging Station,OPERATIONAL,"Township of Northville, MI 48167, USA","point_of_interest, establishment",6,5,"This was a little more complicated than it needs to be. I had to call, and they walked me thru the process. This is not plug and play. You need to download the app, scan qr code, enter the charger type you want (ieccs/chadwmo) on the app, and then hit the start on the charger.  Good luck figuring it out!Yet another app to sign up for and this one requires a $60 hold.  Other than that…charging was great!Late night charge.  No issues.Stations work fine. Why they put them so far away from the front door, I don’t know.",4.5
user-interface and mobile app,Negative,need to download the app],42.4350989,-83.4356217,Greenlots Charging Station,OPERATIONAL,"Township of Northville, MI 48167, USA","point_of_interest, establishment",6,5,"This was a little more complicated than it needs to be. I had to call, and they walked me thru the process. This is not plug and play. You need to download the app, scan qr code, enter the charger type you want (ieccs/chadwmo) on the app, and then hit the start on the charger.  Good luck figuring it out!Yet another app to sign up for and this one requires a $60 hold.  Other than that…charging was great!Late night charge.  No issues.Stations work fine. Why they put them so far away from the front door, I don’t know.",4.5
charging speed and efficiency,Positive,charging was great],42.4350989,-83.4356217,Greenlots Charging Station,OPERATIONAL,"Township of Northville, MI 48167, USA","point_of_interest, establishment",6,5,"This was a little more complicated than it needs to be. I had to call, and they walked me thru the process. This is not plug and play. You need to download the app, scan qr code, enter the charger type you want (ieccs/chadwmo) on the app, and then hit the start on the charger.  Good luck figuring it out!Yet another app to sign up for and this one requires a $60 hold.  Other than that…charging was great!Late night charge.  No issues.Stations work fine. Why they put them so far away from the front door, I don’t know.",4.5
accessibility and availability,Negative,"Stations work fine, but they put them so far away from the front door]",42.4350989,-83.4356217,Greenlots Charging Station,OPERATIONAL,"Township of Northville, MI 48167, USA","point_of_interest, establishment",6,5,"This was a little more complicated than it needs to be. I had to call, and they walked me thru the process. This is not plug and play. You need to download the app, scan qr code, enter the charger type you want (ieccs/chadwmo) on the app, and then hit the start on the charger.  Good luck figuring it out!Yet another app to sign up for and this one requires a $60 hold.  Other than that…charging was great!Late night charge.  No issues.Stations work fine. Why they put them so far away from the front door, I don’t know.",4.5
charging speed and efficiency,Positive,Solid 250kwh supercharger station],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,Conveniently located next to the freeway in the parking lot of Meijer grocery store],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,Several restaurants to choose from that's walking distance],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,Plenty of grass for four-legged friends],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,Restrooms inside of Meijer are clean and maintained],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
accessibility and availability,Positive,Convenience to Tesla owners],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
accessibility and availability,Positive,Available ones are sufficient for most charging needs],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
reliability and maintenance,Positive,Satisfactory choice for Tesla drivers seeking a reliable charging solution],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,Proximity to Meijer adds an extra advantage],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
price and cost,Positive,$0.20 TOU rate on Saturday morning],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
charging speed and efficiency,Positive,"Fast, lots of chargers that don’t share power]",42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,Meijers nearby for snacks and restrooms],42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,"Good charging site in a safe, well-lit shopping center parking lot]",42.4371579,-83.4380844,Tesla Supercharger,OPERATIONAL,"Haggerty Rd #20401, Township of Northville, MI 48167, USA","point_of_interest, establishment",40,5,"Solid 250kwh supercharger station. Conveniently located next to the freeway in the parking lot of Meijer grocery store. If you're looking at the entrance of the store, the station is to the right of the bldg next to the park and ride parking spots. There are several restaurants to choose from that's walking distance. Plenty of grass of your four legged friends and family members to do their business. Restrooms inside of Meijer are clean and maintained. Cell reception is good with 3 bars on 5g with att. I prefer this supercharger than the ones at Livonia even though it's farther to me than the Livonia station.Situated near Meijer, the Tesla Supercharger boasts a favorable location that offers convenience to Tesla owners. While it may not have a vast number of charging slots, the available ones are sufficient for most charging needs. Despite the limited slots, it remains a satisfactory choice for Tesla drivers seeking a reliable charging solution. The proximity to Meijer also adds an extra advantage, allowing visitors to access amenities and services while their vehicles are being charged. Overall, it presents a decent location for Tesla charging, striking a balance between convenience and availability.No issues charging and was able to get a $0.20 TOU rate on Saturday morningFast, lots of chargers that don’t share power unlike older ones where they charge slower the more crowded it gets. This will definitely be a preferred charging stop for me from now on (maps usually routes me thru Ann Arbor). Also there is Meijers nearby for snacks and restrooms.Good charging site in a safe, well-lit shopping center parking lot.",5.0
amenities and location,Positive,"12 brand new stalls in the parking lot of a Meijer in Detroit, plenty of sit down and fast food restaurants, as well as retail shopping]",42.4453518,-83.117921,Tesla Supercharger,OPERATIONAL,"1301 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",15,5,"This Tesla supercharger station is great! 12 brand new stalls in the parking lot of a Meijer in Detroit. I think this is the first and only supercharger station actually within the City of Detroit. In addition to Meijer there are plenty of sit down and fast food restaurants, as well as retail shopping. This will be my new go-to charging station.Beautiful station. Open 24/7. Plenty of spots (always check before coming). 10/10!Half the stalls don't workEasy and convenient.  It's busy though.  Don't go at peak timesthe tesla supercharge is dirty, people that charge trash the place. Tesla drivers PLEASE dont leave your garbage at the supercharger sites",4.6
accessibility and availability,Positive,first and only supercharger station actually within the City of Detroit],42.4453518,-83.117921,Tesla Supercharger,OPERATIONAL,"1301 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",15,5,"This Tesla supercharger station is great! 12 brand new stalls in the parking lot of a Meijer in Detroit. I think this is the first and only supercharger station actually within the City of Detroit. In addition to Meijer there are plenty of sit down and fast food restaurants, as well as retail shopping. This will be my new go-to charging station.Beautiful station. Open 24/7. Plenty of spots (always check before coming). 10/10!Half the stalls don't workEasy and convenient.  It's busy though.  Don't go at peak timesthe tesla supercharge is dirty, people that charge trash the place. Tesla drivers PLEASE dont leave your garbage at the supercharger sites",4.6
reliability and maintenance,Negative,Half the stalls don't work],42.4453518,-83.117921,Tesla Supercharger,OPERATIONAL,"1301 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",15,5,"This Tesla supercharger station is great! 12 brand new stalls in the parking lot of a Meijer in Detroit. I think this is the first and only supercharger station actually within the City of Detroit. In addition to Meijer there are plenty of sit down and fast food restaurants, as well as retail shopping. This will be my new go-to charging station.Beautiful station. Open 24/7. Plenty of spots (always check before coming). 10/10!Half the stalls don't workEasy and convenient.  It's busy though.  Don't go at peak timesthe tesla supercharge is dirty, people that charge trash the place. Tesla drivers PLEASE dont leave your garbage at the supercharger sites",4.6
queue and waiting time,Negative,"It's busy though, Don't go at peak times]",42.4453518,-83.117921,Tesla Supercharger,OPERATIONAL,"1301 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",15,5,"This Tesla supercharger station is great! 12 brand new stalls in the parking lot of a Meijer in Detroit. I think this is the first and only supercharger station actually within the City of Detroit. In addition to Meijer there are plenty of sit down and fast food restaurants, as well as retail shopping. This will be my new go-to charging station.Beautiful station. Open 24/7. Plenty of spots (always check before coming). 10/10!Half the stalls don't workEasy and convenient.  It's busy though.  Don't go at peak timesthe tesla supercharge is dirty, people that charge trash the place. Tesla drivers PLEASE dont leave your garbage at the supercharger sites",4.6
customer service,Negative,"people that charge trash the place, Tesla drivers PLEASE dont leave your garbage at the supercharger sites]",42.4453518,-83.117921,Tesla Supercharger,OPERATIONAL,"1301 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",15,5,"This Tesla supercharger station is great! 12 brand new stalls in the parking lot of a Meijer in Detroit. I think this is the first and only supercharger station actually within the City of Detroit. In addition to Meijer there are plenty of sit down and fast food restaurants, as well as retail shopping. This will be my new go-to charging station.Beautiful station. Open 24/7. Plenty of spots (always check before coming). 10/10!Half the stalls don't workEasy and convenient.  It's busy though.  Don't go at peak timesthe tesla supercharge is dirty, people that charge trash the place. Tesla drivers PLEASE dont leave your garbage at the supercharger sites",4.6
charging speed and efficiency,Negative,Not a fast charging station],42.44542999999999,-83.11789,EVgo Charging Station,OPERATIONAL,"1205 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",1,1,Not a fast charging station. Cost are very high. Additional fees and tax added to total cost.,2.0
